n; time(ms)
246; 0.000000ms
247; 0.000000ms
248; 0.000000ms
249; 0.000000ms
250; 0.000000ms
251; 0.000000ms
252; 0.000000ms
253; 0.000000ms
254; 0.000000ms
255; 0.000000ms
256; 0.000000ms
257; 0.000000ms
258; 0.000000ms
259; 0.000000ms
260; 0.000000ms
261; 0.000000ms
262; 0.000000ms
263; 0.000000ms
264; 0.000000ms
265; 0.000000ms
266; 0.000000ms
267; 0.000000ms
268; 0.000000ms
269; 0.000000ms
270; 0.000000ms
271; 0.000000ms
272; 0.000000ms
273; 0.000000ms
274; 0.000000ms
275; 0.000000ms
276; 0.000000ms
277; 0.000000ms
278; 0.000000ms
279; 0.000000ms
280; 0.000000ms
281; 0.000000ms
282; 0.000000ms
283; 0.000000ms
284; 0.000000ms
285; 0.000000ms
286; 0.000000ms
287; 0.000000ms
288; 0.000000ms
289; 0.000000ms
290; 0.000000ms
291; 0.000000ms
292; 0.000000ms
293; 0.000000ms
294; 0.000000ms
295; 0.000000ms
296; 0.000000ms
297; 0.000000ms
298; 0.000000ms
299; 0.000000ms
300; 0.000000ms
301; 0.000000ms
302; 0.000000ms
303; 0.000000ms
304; 0.000000ms
305; 0.000000ms
306; 0.000000ms
307; 0.000000ms
308; 0.000000ms
309; 0.000000ms
310; 0.000000ms
311; 0.000000ms
312; 0.000000ms
313; 0.000000ms
314; 0.000000ms
315; 0.000000ms
316; 0.000000ms
317; 0.000000ms
318; 0.000000ms
319; 0.000000ms
320; 0.000000ms
321; 0.000000ms
322; 0.000000ms
323; 0.000000ms
324; 0.000000ms
325; 0.000000ms
326; 0.000000ms
327; 0.000000ms
328; 0.000000ms
329; 0.000000ms
330; 0.000000ms
331; 0.000000ms
332; 0.000000ms
333; 0.000000ms
334; 0.000000ms
335; 0.000000ms
336; 0.000000ms
337; 0.000000ms
338; 0.000000ms
339; 0.000000ms
340; 0.000000ms
341; 0.000000ms
342; 0.000000ms
343; 0.000000ms
344; 0.000000ms
345; 0.000000ms
346; 0.000000ms
347; 0.000000ms
348; 0.000000ms
349; 0.000000ms
350; 0.000000ms
351; 0.000000ms
352; 0.000000ms
353; 0.000000ms
354; 0.000000ms
355; 0.000000ms
356; 0.000000ms
357; 0.000000ms
358; 0.000000ms
359; 0.000000ms
360; 0.000000ms
361; 0.000000ms
362; 0.000000ms
363; 0.000000ms
364; 0.000000ms
365; 0.000000ms
366; 0.000000ms
367; 0.000000ms
368; 0.000000ms
369; 0.000000ms
370; 0.000000ms
371; 0.000000ms
372; 0.000000ms
373; 0.000000ms
374; 0.000000ms
375; 0.000000ms
376; 0.000000ms
377; 0.000000ms
378; 0.000000ms
379; 0.000000ms
380; 0.000000ms
381; 0.000000ms
382; 0.000000ms
383; 0.000000ms
384; 0.000000ms
385; 0.000000ms
386; 0.000000ms
387; 0.000000ms
388; 0.000000ms
389; 0.000000ms
390; 0.000000ms
391; 0.000000ms
392; 0.000000ms
393; 0.000000ms
394; 0.000000ms
395; 0.000000ms
396; 0.000000ms
397; 0.000000ms
398; 0.000000ms
399; 0.000000ms
400; 0.000000ms
401; 0.000000ms
402; 0.000000ms
403; 0.000000ms
404; 0.000000ms
405; 0.000000ms
406; 0.000000ms
407; 0.000000ms
408; 0.000000ms
409; 0.000000ms
410; 0.000000ms
411; 0.000000ms
412; 0.000000ms
413; 0.000000ms
414; 0.000000ms
415; 0.000000ms
416; 0.000000ms
417; 0.000000ms
418; 0.000000ms
419; 0.000000ms
420; 0.000000ms
421; 0.000000ms
422; 0.000000ms
423; 0.000000ms
424; 0.000000ms
425; 0.000000ms
426; 0.000000ms
427; 0.000000ms
428; 0.000000ms
429; 0.000000ms
430; 0.000000ms
431; 0.000000ms
432; 0.000000ms
433; 0.000000ms
434; 0.000000ms
435; 0.000000ms
436; 0.000000ms
437; 0.000000ms
438; 0.000000ms
439; 0.000000ms
440; 0.000000ms
441; 0.000000ms
442; 0.000000ms
443; 0.000000ms
444; 0.000000ms
445; 0.000000ms
446; 0.000000ms
447; 0.000000ms
448; 0.000000ms
449; 0.000000ms
450; 0.000000ms
451; 0.000000ms
452; 0.000000ms
453; 0.000000ms
454; 0.000000ms
455; 0.000000ms
456; 0.000000ms
457; 0.000000ms
458; 0.000000ms
459; 0.000000ms
460; 0.000000ms
461; 0.000000ms
462; 0.000000ms
463; 0.000000ms
464; 0.000000ms
465; 0.000000ms
466; 0.000000ms
467; 0.000000ms
468; 0.000000ms
469; 0.000000ms
470; 0.000000ms
471; 0.000000ms
472; 0.000000ms
473; 0.000000ms
474; 0.000000ms
475; 0.000000ms
476; 0.000000ms
477; 0.000000ms
478; 0.000000ms
479; 0.000000ms
480; 0.000000ms
481; 0.000000ms
482; 0.000000ms
483; 0.000000ms
484; 0.000000ms
485; 0.000000ms
486; 0.000000ms
487; 0.000000ms
488; 0.000000ms
489; 0.000000ms
490; 0.000000ms
491; 0.000000ms
492; 0.000000ms
493; 0.000000ms
494; 0.000000ms
495; 0.000000ms
496; 0.000000ms
497; 0.000000ms
498; 0.000000ms
499; 0.000000ms
500; 0.000000ms
501; 0.000000ms
502; 0.000000ms
503; 0.000000ms
504; 0.000000ms
505; 0.000000ms
506; 0.000000ms
507; 0.000000ms
508; 0.000000ms
509; 0.000000ms
510; 0.000000ms
511; 0.000000ms
512; 0.000000ms
513; 0.000000ms
514; 0.000000ms
515; 0.000000ms
516; 0.000000ms
517; 0.000000ms
518; 0.000000ms
519; 0.000000ms
520; 0.000000ms
521; 0.000000ms
522; 0.000000ms
523; 0.000000ms
524; 0.000000ms
525; 0.000000ms
526; 0.000000ms
527; 0.000000ms
528; 0.000000ms
529; 0.000000ms
530; 0.000000ms
531; 0.000000ms
532; 0.000000ms
533; 0.000000ms
534; 0.000000ms
535; 0.000000ms
536; 0.000000ms
537; 0.000000ms
538; 0.000000ms
539; 0.000000ms
540; 0.000000ms
541; 0.000000ms
542; 0.000000ms
543; 0.000000ms
544; 0.000000ms
545; 0.000000ms
546; 0.000000ms
547; 0.000000ms
548; 0.000000ms
549; 0.000000ms
550; 0.000000ms
551; 0.000000ms
552; 0.000000ms
553; 0.000000ms
554; 0.000000ms
555; 0.000000ms
556; 0.000000ms
557; 0.000000ms
558; 0.000000ms
559; 0.000000ms
560; 0.000000ms
561; 0.000000ms
562; 0.000000ms
563; 0.000000ms
564; 0.000000ms
565; 0.000000ms
566; 0.000000ms
567; 0.000000ms
568; 0.000000ms
569; 0.000000ms
570; 0.000000ms
571; 0.000000ms
572; 0.000000ms
573; 0.000000ms
574; 0.000000ms
575; 0.000000ms
576; 0.000000ms
577; 0.000000ms
578; 0.000000ms
579; 0.000000ms
580; 0.000000ms
581; 0.000000ms
582; 0.000000ms
583; 0.000000ms
584; 0.000000ms
585; 0.000000ms
586; 0.000000ms
587; 0.000000ms
588; 0.000000ms
589; 0.000000ms
590; 0.000000ms
591; 0.000000ms
592; 0.000000ms
593; 0.000000ms
594; 0.000000ms
595; 0.000000ms
596; 0.000000ms
597; 0.000000ms
598; 0.000000ms
599; 0.000000ms
600; 0.000000ms
601; 0.000000ms
602; 0.000000ms
603; 0.000000ms
604; 0.000000ms
605; 0.000000ms
606; 0.000000ms
607; 0.000000ms
608; 0.000000ms
609; 0.000000ms
610; 0.000000ms
611; 0.000000ms
612; 0.000000ms
613; 0.000000ms
614; 0.000000ms
615; 0.000000ms
616; 0.000000ms
617; 0.000000ms
618; 0.000000ms
619; 0.000000ms
620; 0.000000ms
621; 0.000000ms
622; 0.000000ms
623; 0.000000ms
624; 0.000000ms
625; 0.000000ms
626; 0.000000ms
627; 0.000000ms
628; 0.000000ms
629; 0.000000ms
630; 0.000000ms
631; 0.000000ms
632; 0.000000ms
633; 0.000000ms
634; 0.000000ms
635; 0.000000ms
636; 0.000000ms
637; 0.000000ms
638; 0.000000ms
639; 0.000000ms
640; 0.000000ms
641; 0.000000ms
642; 0.000000ms
643; 0.000000ms
644; 0.000000ms
645; 0.000000ms
646; 0.000000ms
647; 0.000000ms
648; 0.000000ms
649; 0.000000ms
650; 0.000000ms
651; 0.000000ms
652; 0.000000ms
653; 0.000000ms
654; 0.000000ms
655; 0.000000ms
656; 0.000000ms
657; 0.000000ms
658; 0.000000ms
659; 0.000000ms
660; 0.000000ms
661; 0.000000ms
662; 0.000000ms
663; 0.000000ms
664; 0.000000ms
665; 0.000000ms
666; 0.000000ms
667; 0.000000ms
668; 0.000000ms
669; 0.000000ms
670; 0.000000ms
671; 0.000000ms
672; 0.000000ms
673; 0.000000ms
674; 0.000000ms
675; 0.000000ms
676; 0.000000ms
677; 0.000000ms
678; 0.000000ms
679; 0.000000ms
680; 0.000000ms
681; 0.000000ms
682; 0.000000ms
683; 0.000000ms
684; 0.000000ms
685; 0.000000ms
686; 0.000000ms
687; 0.000000ms
688; 0.000000ms
689; 0.000000ms
690; 0.000000ms
691; 0.000000ms
692; 0.000000ms
693; 0.000000ms
694; 0.000000ms
695; 0.000000ms
696; 0.000000ms
697; 0.000000ms
698; 0.000000ms
699; 0.000000ms
700; 0.000000ms
701; 0.000000ms
702; 0.000000ms
703; 0.000000ms
704; 0.000000ms
705; 0.000000ms
706; 0.000000ms
707; 0.000000ms
708; 0.000000ms
709; 0.000000ms
710; 0.000000ms
711; 0.000000ms
712; 0.000000ms
713; 0.000000ms
714; 0.000000ms
715; 0.000000ms
716; 0.000000ms
717; 0.000000ms
718; 0.000000ms
719; 0.000000ms
720; 0.000000ms
721; 0.000000ms
722; 0.000000ms
723; 0.000000ms
724; 0.000000ms
725; 0.000000ms
726; 0.000000ms
727; 0.000000ms
728; 0.000000ms
729; 0.000000ms
730; 0.000000ms
731; 0.000000ms
732; 0.000000ms
733; 0.000000ms
734; 0.000000ms
735; 0.000000ms
736; 0.000000ms
737; 0.000000ms
738; 0.000000ms
739; 0.000000ms
740; 0.000000ms
741; 0.000000ms
742; 0.000000ms
743; 0.000000ms
744; 0.000000ms
745; 0.997000ms
746; 0.000000ms
747; 0.000000ms
748; 0.000000ms
749; 0.000000ms
750; 0.000000ms
751; 0.000000ms
752; 0.000000ms
753; 0.000000ms
754; 0.000000ms
755; 0.000000ms
756; 0.000000ms
757; 0.000000ms
758; 0.000000ms
759; 0.000000ms
760; 0.000000ms
761; 0.000000ms
762; 0.000000ms
763; 0.000000ms
764; 0.000000ms
765; 0.000000ms
766; 0.000000ms
767; 0.000000ms
768; 0.000000ms
769; 0.000000ms
770; 0.000000ms
771; 0.000000ms
772; 0.000000ms
773; 0.000000ms
774; 0.000000ms
775; 0.000000ms
776; 0.000000ms
777; 0.000000ms
778; 0.000000ms
779; 0.000000ms
780; 0.000000ms
781; 0.000000ms
782; 0.000000ms
783; 0.000000ms
784; 0.000000ms
785; 0.000000ms
786; 0.000000ms
787; 0.000000ms
788; 0.000000ms
789; 0.000000ms
790; 0.000000ms
791; 0.000000ms
792; 0.000000ms
793; 0.000000ms
794; 0.000000ms
795; 0.000000ms
796; 0.000000ms
797; 0.000000ms
798; 0.000000ms
799; 0.000000ms
800; 0.000000ms
801; 0.000000ms
802; 0.000000ms
803; 0.000000ms
804; 0.000000ms
805; 0.000000ms
806; 0.000000ms
807; 0.000000ms
808; 0.000000ms
809; 0.000000ms
810; 0.000000ms
811; 0.000000ms
812; 0.000000ms
813; 0.000000ms
814; 0.000000ms
815; 0.000000ms
816; 0.000000ms
817; 0.000000ms
818; 0.000000ms
819; 0.000000ms
820; 0.000000ms
821; 0.000000ms
822; 0.000000ms
823; 0.000000ms
824; 0.000000ms
825; 0.000000ms
826; 0.000000ms
827; 0.000000ms
828; 0.000000ms
829; 0.000000ms
830; 0.000000ms
831; 0.000000ms
832; 0.000000ms
833; 0.000000ms
834; 0.000000ms
835; 0.000000ms
836; 0.000000ms
837; 0.000000ms
838; 0.000000ms
839; 0.000000ms
840; 0.000000ms
841; 0.000000ms
842; 0.000000ms
843; 0.000000ms
844; 0.000000ms
845; 0.000000ms
846; 0.000000ms
847; 0.000000ms
848; 0.000000ms
849; 0.000000ms
850; 0.000000ms
851; 0.000000ms
852; 0.000000ms
853; 0.000000ms
854; 0.000000ms
855; 0.000000ms
856; 0.000000ms
857; 0.000000ms
858; 0.000000ms
859; 0.000000ms
860; 0.000000ms
861; 0.000000ms
862; 0.000000ms
863; 0.000000ms
864; 0.000000ms
865; 0.000000ms
866; 0.000000ms
867; 0.000000ms
868; 0.000000ms
869; 0.000000ms
870; 0.000000ms
871; 0.000000ms
872; 0.000000ms
873; 0.000000ms
874; 0.000000ms
875; 0.000000ms
876; 0.000000ms
877; 0.000000ms
878; 0.000000ms
879; 0.000000ms
880; 0.000000ms
881; 0.000000ms
882; 0.000000ms
883; 0.000000ms
884; 0.000000ms
885; 0.000000ms
886; 0.000000ms
887; 0.000000ms
888; 0.000000ms
889; 0.000000ms
890; 0.000000ms
891; 0.000000ms
892; 0.000000ms
893; 0.000000ms
894; 0.000000ms
895; 0.000000ms
896; 0.000000ms
897; 0.000000ms
898; 0.000000ms
899; 0.000000ms
900; 0.000000ms
901; 0.000000ms
902; 0.000000ms
903; 0.000000ms
904; 0.000000ms
905; 0.000000ms
906; 0.000000ms
907; 0.000000ms
908; 0.000000ms
909; 0.000000ms
910; 0.000000ms
911; 0.000000ms
912; 0.000000ms
913; 0.000000ms
914; 0.000000ms
915; 0.000000ms
916; 0.000000ms
917; 0.000000ms
918; 0.000000ms
919; 0.000000ms
920; 0.000000ms
921; 0.000000ms
922; 0.000000ms
923; 0.000000ms
924; 0.000000ms
925; 0.000000ms
926; 0.000000ms
927; 0.000000ms
928; 0.000000ms
929; 0.000000ms
930; 0.000000ms
931; 0.000000ms
932; 0.000000ms
933; 0.000000ms
934; 0.000000ms
935; 0.000000ms
936; 0.000000ms
937; 0.000000ms
938; 0.000000ms
939; 0.000000ms
940; 0.000000ms
941; 0.000000ms
942; 0.000000ms
943; 0.000000ms
944; 0.000000ms
945; 0.000000ms
946; 0.000000ms
947; 0.000000ms
948; 0.000000ms
949; 0.000000ms
950; 0.000000ms
951; 0.000000ms
952; 0.000000ms
953; 0.000000ms
954; 0.000000ms
955; 0.000000ms
956; 0.000000ms
957; 0.000000ms
958; 0.000000ms
959; 0.000000ms
960; 0.000000ms
961; 0.000000ms
962; 0.000000ms
963; 0.000000ms
964; 0.000000ms
965; 0.000000ms
966; 0.000000ms
967; 0.000000ms
968; 0.000000ms
969; 0.000000ms
970; 0.000000ms
971; 0.000000ms
972; 0.000000ms
973; 0.000000ms
974; 0.000000ms
975; 0.000000ms
976; 0.000000ms
977; 0.000000ms
978; 0.000000ms
979; 0.000000ms
980; 0.000000ms
981; 0.000000ms
982; 0.000000ms
983; 0.000000ms
984; 0.000000ms
985; 0.000000ms
986; 0.000000ms
987; 0.000000ms
988; 0.000000ms
989; 0.000000ms
990; 0.000000ms
991; 0.000000ms
992; 0.000000ms
993; 0.000000ms
994; 0.000000ms
995; 0.000000ms
996; 0.000000ms
997; 0.000000ms
998; 0.000000ms
999; 0.000000ms
1000; 0.000000ms
1001; 0.000000ms
1002; 0.000000ms
1003; 0.000000ms
1004; 0.000000ms
1005; 0.000000ms
1006; 0.000000ms
1007; 0.000000ms
1008; 0.000000ms
1009; 0.000000ms
1010; 0.000000ms
1011; 0.000000ms
1012; 0.000000ms
1013; 0.000000ms
1014; 0.000000ms
1015; 0.000000ms
1016; 0.000000ms
1017; 0.000000ms
1018; 0.000000ms
1019; 0.000000ms
1020; 0.000000ms
1021; 0.000000ms
1022; 0.000000ms
1023; 0.000000ms
1024; 0.000000ms
1025; 0.000000ms
1026; 0.000000ms
1027; 0.000000ms
1028; 0.000000ms
1029; 0.000000ms
1030; 0.000000ms
1031; 0.000000ms
1032; 0.000000ms
1033; 0.000000ms
1034; 0.000000ms
1035; 0.000000ms
1036; 0.000000ms
1037; 0.000000ms
1038; 0.000000ms
1039; 0.000000ms
1040; 0.000000ms
1041; 0.000000ms
1042; 0.000000ms
1043; 0.000000ms
1044; 0.000000ms
1045; 0.000000ms
1046; 0.000000ms
1047; 0.000000ms
1048; 0.000000ms
1049; 0.000000ms
1050; 0.000000ms
1051; 0.000000ms
1052; 0.000000ms
1053; 0.000000ms
1054; 0.000000ms
1055; 0.000000ms
1056; 0.000000ms
1057; 0.000000ms
1058; 0.000000ms
1059; 0.000000ms
1060; 0.000000ms
1061; 0.000000ms
1062; 0.000000ms
1063; 0.000000ms
1064; 0.000000ms
1065; 0.000000ms
1066; 0.000000ms
1067; 0.000000ms
1068; 0.000000ms
1069; 0.000000ms
1070; 0.000000ms
1071; 0.000000ms
1072; 0.000000ms
1073; 0.000000ms
1074; 0.000000ms
1075; 0.000000ms
1076; 0.000000ms
1077; 0.000000ms
1078; 0.000000ms
1079; 0.000000ms
1080; 0.000000ms
1081; 0.000000ms
1082; 0.000000ms
1083; 0.000000ms
1084; 0.000000ms
1085; 0.000000ms
1086; 0.000000ms
1087; 0.000000ms
1088; 0.000000ms
1089; 0.000000ms
1090; 0.000000ms
1091; 0.000000ms
1092; 0.000000ms
1093; 0.000000ms
1094; 0.000000ms
1095; 0.000000ms
1096; 0.000000ms
1097; 0.000000ms
1098; 0.000000ms
1099; 0.000000ms
1100; 0.000000ms
1101; 0.000000ms
1102; 0.000000ms
1103; 0.000000ms
1104; 0.000000ms
1105; 0.000000ms
1106; 0.000000ms
1107; 0.998000ms
1108; 0.000000ms
1109; 0.000000ms
1110; 0.000000ms
1111; 0.000000ms
1112; 0.000000ms
1113; 0.000000ms
1114; 0.000000ms
1115; 0.000000ms
1116; 0.000000ms
1117; 0.000000ms
1118; 0.000000ms
1119; 0.000000ms
1120; 0.000000ms
1121; 0.000000ms
1122; 0.000000ms
1123; 0.000000ms
1124; 0.000000ms
1125; 0.000000ms
1126; 0.000000ms
1127; 0.000000ms
1128; 0.000000ms
1129; 0.000000ms
1130; 0.000000ms
1131; 0.000000ms
1132; 0.000000ms
1133; 0.000000ms
1134; 0.000000ms
1135; 0.000000ms
1136; 0.000000ms
1137; 0.000000ms
1138; 0.000000ms
1139; 0.000000ms
1140; 0.000000ms
1141; 0.000000ms
1142; 0.000000ms
1143; 0.000000ms
1144; 0.000000ms
1145; 0.000000ms
1146; 0.000000ms
1147; 0.000000ms
1148; 0.000000ms
1149; 0.000000ms
1150; 0.000000ms
1151; 0.000000ms
1152; 0.000000ms
1153; 0.000000ms
1154; 0.000000ms
1155; 0.000000ms
1156; 0.000000ms
1157; 0.000000ms
1158; 0.000000ms
1159; 0.000000ms
1160; 0.000000ms
1161; 0.000000ms
1162; 0.000000ms
1163; 0.000000ms
1164; 0.000000ms
1165; 0.000000ms
1166; 0.000000ms
1167; 0.000000ms
1168; 0.000000ms
1169; 0.000000ms
1170; 0.000000ms
1171; 0.000000ms
1172; 0.000000ms
1173; 0.000000ms
1174; 0.000000ms
1175; 0.000000ms
1176; 0.000000ms
1177; 0.000000ms
1178; 0.000000ms
1179; 0.000000ms
1180; 0.000000ms
1181; 0.000000ms
1182; 0.000000ms
1183; 0.000000ms
1184; 0.000000ms
1185; 0.000000ms
1186; 0.000000ms
1187; 0.000000ms
1188; 0.000000ms
1189; 0.000000ms
1190; 0.000000ms
1191; 0.000000ms
1192; 0.000000ms
1193; 0.000000ms
1194; 0.000000ms
1195; 0.000000ms
1196; 0.000000ms
1197; 0.000000ms
1198; 0.000000ms
1199; 0.000000ms
1200; 0.000000ms
1201; 0.000000ms
1202; 0.000000ms
1203; 0.000000ms
1204; 0.000000ms
1205; 0.000000ms
1206; 0.000000ms
1207; 0.000000ms
1208; 0.000000ms
1209; 0.000000ms
1210; 0.000000ms
1211; 0.000000ms
1212; 0.000000ms
1213; 0.000000ms
1214; 0.000000ms
1215; 0.000000ms
1216; 0.000000ms
1217; 0.000000ms
1218; 0.000000ms
1219; 0.000000ms
1220; 0.000000ms
1221; 0.000000ms
1222; 0.000000ms
1223; 0.000000ms
1224; 0.000000ms
1225; 0.000000ms
1226; 0.000000ms
1227; 0.000000ms
1228; 0.000000ms
1229; 0.000000ms
1230; 0.000000ms
1231; 0.000000ms
1232; 0.000000ms
1233; 0.000000ms
1234; 0.000000ms
1235; 0.000000ms
1236; 0.000000ms
1237; 0.000000ms
1238; 0.000000ms
1239; 0.000000ms
1240; 0.000000ms
1241; 0.000000ms
1242; 0.000000ms
1243; 0.000000ms
1244; 0.000000ms
1245; 0.000000ms
1246; 0.000000ms
1247; 0.000000ms
1248; 0.000000ms
1249; 0.000000ms
1250; 0.000000ms
1251; 0.000000ms
1252; 0.000000ms
1253; 0.000000ms
1254; 0.000000ms
1255; 0.000000ms
1256; 0.000000ms
1257; 0.000000ms
1258; 0.000000ms
1259; 0.000000ms
1260; 0.000000ms
1261; 0.000000ms
1262; 0.000000ms
1263; 0.000000ms
1264; 0.000000ms
1265; 0.000000ms
1266; 0.000000ms
1267; 0.000000ms
1268; 0.000000ms
1269; 0.000000ms
1270; 0.000000ms
1271; 0.000000ms
1272; 0.000000ms
1273; 0.000000ms
1274; 0.000000ms
1275; 0.000000ms
1276; 0.000000ms
1277; 0.000000ms
1278; 0.000000ms
1279; 0.000000ms
1280; 0.000000ms
1281; 0.000000ms
1282; 0.000000ms
1283; 0.000000ms
1284; 0.000000ms
1285; 0.000000ms
1286; 0.000000ms
1287; 0.000000ms
1288; 0.000000ms
1289; 0.000000ms
1290; 0.000000ms
1291; 0.000000ms
1292; 0.000000ms
1293; 0.000000ms
1294; 0.000000ms
1295; 0.000000ms
1296; 0.000000ms
1297; 0.000000ms
1298; 0.000000ms
1299; 0.000000ms
1300; 0.000000ms
1301; 0.000000ms
1302; 0.000000ms
1303; 0.000000ms
1304; 0.000000ms
1305; 0.000000ms
1306; 0.000000ms
1307; 0.000000ms
1308; 0.000000ms
1309; 0.000000ms
1310; 0.000000ms
1311; 0.000000ms
1312; 0.000000ms
1313; 0.000000ms
1314; 0.000000ms
1315; 0.000000ms
1316; 0.000000ms
1317; 0.000000ms
1318; 0.000000ms
1319; 0.000000ms
1320; 0.000000ms
1321; 0.000000ms
1322; 0.000000ms
1323; 0.000000ms
1324; 0.000000ms
1325; 0.000000ms
1326; 0.000000ms
1327; 0.000000ms
1328; 0.000000ms
1329; 0.000000ms
1330; 0.000000ms
1331; 0.000000ms
1332; 0.000000ms
1333; 0.000000ms
1334; 0.000000ms
1335; 0.000000ms
1336; 0.000000ms
1337; 0.000000ms
1338; 0.000000ms
1339; 0.000000ms
1340; 0.000000ms
1341; 0.000000ms
1342; 0.000000ms
1343; 0.000000ms
1344; 0.000000ms
1345; 0.000000ms
1346; 0.000000ms
1347; 0.000000ms
1348; 0.000000ms
1349; 0.000000ms
1350; 0.000000ms
1351; 0.000000ms
1352; 0.000000ms
1353; 0.000000ms
1354; 0.000000ms
1355; 0.000000ms
1356; 0.000000ms
1357; 0.000000ms
1358; 0.000000ms
1359; 0.000000ms
1360; 0.000000ms
1361; 0.000000ms
